Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q18,2N7002,SOT-23,105.39,-77.8,180.0,top
Q19,2N7002,SOT-23,105.39,-74.0,180.0,top
Q2,2N7002,SOT-23,73.39,-81.6,180.0,top
Q20,2N7002,SOT-23,105.39,-70.2,180.0,top
Q21,2N7002,SOT-23,105.39,-66.4,180.0,top
Q22,2N7002,SOT-23,105.39,-62.6,180.0,top
Q23,2N7002,SOT-23,105.39,-58.8,180.0,top
Q24,2N7002,SOT-23,105.39,-55.0,180.0,top
Q25,2N7002,SOT-23,101.09,-81.6,180.0,top
Q26,2N7002,SOT-23,101.09,-77.8,180.0,top
Q27,2N7002,SOT-23,101.09,-74.0,180.0,top
Q28,2N7002,SOT-23,101.09,-70.2,180.0,top
Q29,2N7002,SOT-23,101.09,-66.4,180.0,top
Q3,2N7002,SOT-23,69.09,-77.8,180.0,top
Q30,2N7002,SOT-23,101.09,-62.6,180.0,top
Q31,2N7002,SOT-23,101.09,-58.8,180.0,top
Q32,2N7002,SOT-23,101.09,-55.0,180.0,top
Q33,2N7002,SOT-23,119.79,-81.6,0.0,top
Q34,2N7002,SOT-23,119.79,-77.8,0.0,top
Q35,2N7002,SOT-23,119.79,-74.0,0.0,top
Q36,2N7002,SOT-23,119.79,-70.2,0.0,top
Q37,2N7002,SOT-23,119.79,-66.4,0.0,top
Q38,2N7002,SOT-23,119.79,-62.6,0.0,top
Q39,2N7002,SOT-23,119.79,-58.8,0.0,top
Q4,2N7002,SOT-23,73.39,-77.8,180.0,top
Q40,2N7002,SOT-23,119.79,-55.0,0.0,top
Q41,2N7002,SOT-23,124.09,-81.6,0.0,top
Q42,2N7002,SOT-23,124.09,-77.8,0.0,top
Q43,2N7002,SOT-23,124.09,-74.0,0.0,top
Q44,2N7002,SOT-23,124.09,-70.2,0.0,top
Q45,2N7002,SOT-23,124.09,-66.4,0.0,top
Q46,2N7002,SOT-23,124.09,-62.6,0.0,top
Q47,2N7002,SOT-23,124.09,-58.8,0.0,top
Q48,2N7002,SOT-23,124.09,-55.0,0.0,top
Q49,2N7002,SOT-23,137.39,-81.6,180.0,top
Q5,2N7002,SOT-23,69.09,-74.0,180.0,top
Q50,2N7002,SOT-23,137.39,-77.8,180.0,top
Q51,2N7002,SOT-23,137.39,-74.0,180.0,top
Q52,2N7002,SOT-23,137.39,-70.2,180.0,top
Q53,2N7002,SOT-23,137.39,-66.4,180.0,top
Q54,2N7002,SOT-23,137.39,-62.6,180.0,top
Q55,2N7002,SOT-23,137.39,-58.8,180.0,top
Q56,2N7002,SOT-23,137.39,-55.0,180.0,top
Q57,2N7002,SOT-23,133.09,-81.6,180.0,top
Q58,2N7002,SOT-23,133.09,-77.8,180.0,top
Q59,2N7002,SOT-23,133.09,-74.0,180.0,top
Q6,2N7002,SOT-23,73.39,-74.0,180.0,top
Q60,2N7002,SOT-23,133.09,-70.2,180.0,top
Q61,2N7002,SOT-23,133.09,-66.4,180.0,top
Q62,2N7002,SOT-23,133.09,-62.6,180.0,top
Q63,2N7002,SOT-23,133.09,-58.8,180.0,top
Q64,2N7002,SOT-23,133.09,-55.0,180.0,top
Q65,2N7002,SOT-23,87.79,-81.6,0.0,top
Q66,2N7002,SOT-23,87.79,-77.8,0.0,top
Q67,2N7002,SOT-23,87.79,-74.0,0.0,top
Q68,2N7002,SOT-23,87.79,-70.2,0.0,top
Q69,2N7002,SOT-23,87.79,-66.4,0.0,top
Q7,2N7002,SOT-23,69.09,-70.2,180.0,top
Q70,2N7002,SOT-23,87.79,-62.6,0.0,top
Q71,2N7002,SOT-23,87.79,-58.8,0.0,top
Q72,2N7002,SOT-23,87.79,-55.0,0.0,top
Q73,2N7002,SOT-23,92.09,-81.6,0.0,top
Q74,2N7002,SOT-23,92.09,-77.8,0.0,top
Q75,2N7002,SOT-23,92.09,-74.0,0.0,top
Q76,2N7002,SOT-23,92.09,-70.2,0.0,top
Q77,2N7002,SOT-23,92.09,-66.4,0.0,top
Q78,2N7002,SOT-23,92.09,-62.6,0.0,top
Q79,2N7002,SOT-23,92.09,-58.8,0.0,top
Q8,2N7002,SOT-23,73.39,-70.2,180.0,top
Q80,2N7002,SOT-23,92.09,-55.0,0.0,top
Q81,2N7002,SOT-23,151.79,-81.6,0.0,top
Q82,2N7002,SOT-23,151.79,-77.8,0.0,top
Q83,2N7002,SOT-23,151.79,-74.0,0.0,top
Q84,2N7002,SOT-23,151.79,-70.2,0.0,top
Q85,2N7002,SOT-23,151.79,-66.4,0.0,top
Q86,2N7002,SOT-23,151.79,-62.6,0.0,top
Q87,2N7002,SOT-23,151.79,-58.8,0.0,top
Q88,2N7002,SOT-23,151.79,-55.0,0.0,top
Q89,2N7002,SOT-23,156.09,-81.6,0.0,top
Q9,2N7002,SOT-23,69.09,-66.4,180.0,top
Q90,2N7002,SOT-23,156.09,-77.8,0.0,top
Q91,2N7002,SOT-23,156.09,-74.0,0.0,top
Q92,2N7002,SOT-23,156.09,-70.2,0.0,top
Q93,2N7002,SOT-23,156.09,-66.4,0.0,top
Q94,2N7002,SOT-23,156.09,-62.6,0.0,top
Q95,2N7002,SOT-23,156.09,-58.8,0.0,top
Q96,2N7002,SOT-23,156.09,-55.0,0.0,top
Q97,2N7002,SOT-23,169.39,-81.6,180.0,top
Q98,2N7002,SOT-23,169.39,-77.8,180.0,top
Q99,2N7002,SOT-23,169.39,-74.0,180.0,top
R1,10kΩ,R_0402,89.31,-100.5,-90.0,top
R10,10kΩ,R_0402,84.31,-100.5,-90.0,top
R11,10kΩ,R_0402,80.51,-100.5,-90.0,top
R12,10kΩ,R_0402,76.71,-100.5,-90.0,top
R13,10kΩ,R_0402,72.91,-100.5,-90.0,top
R14,10kΩ,R_0402,69.11,-100.5,-90.0,top
R15,10kΩ,R_0402,65.31,-100.5,-90.0,top
R16,10kΩ,R_0402,61.71,-100.5,-90.0,top
R17,10kΩ,R_0402,96.5,-102.5,-90.0,top
R18,10kΩ,R_0402,100.3,-102.5,-90.0,top
R19,10kΩ,R_0402,104.1,-102.5,-90.0,top
R2,10kΩ,R_0402,85.51,-100.5,-90.0,top
R20,10kΩ,R_0402,107.9,-102.5,-90.0,top
R21,10kΩ,R_0402,111.7,-102.5,-90.0,top
R22,10kΩ,R_0402,115.5,-102.5,-90.0,top
R23,10kΩ,R_0402,119.3,-102.5,-90.0,top
R24,10kΩ,R_0402,123.1,-102.5,-90.0,top
R25,10kΩ,R_0402,97.7,-102.5,-90.0,top
R26,10kΩ,R_0402,101.5,-102.5,-90.0,top
R27,10kΩ,R_0402,105.3,-102.5,-90.0,top
R28,10kΩ,R_0402,109.1,-102.5,-90.0,top
R29,10kΩ,R_0402,112.9,-102.5,-90.0,top
R3,10kΩ,R_0402,81.71,-100.5,-90.0,top
R30,10kΩ,R_0402,116.7,-102.5,-90.0,top
R31,10kΩ,R_0402,120.5,-102.5,-90.0,top
R32,10kΩ,R_0402,124.3,-102.5,-90.0,top
R33,10kΩ,R_0402,171.3,-111.375,0.0,top
R34,10kΩ,R_0402,171.3,-112.475,0.0,top
R35,10kΩ,R_0402,198.9,-59.0,180.0,top
R36,10kΩ,R_0402,198.9,-60.0,180.0,top
R37,10kΩ,R_0402,198.9,-55.0,180.0,top
R38,10kΩ,R_0402,198.9,-56.0,180.0,top
R39,10kΩ,R_0402,198.9,-51.0,180.0,top
R4,10kΩ,R_0402,77.91,-100.5,-90.0,top
R40,10kΩ,R_0402,198.9,-52.0,180.0,top
R41,10kΩ,R_0402,198.9,-48.0,180.0,top
R42,10kΩ,R_0402,198.9,-47.0,180.0,top
R43,10kΩ,R_0402,198.9,-44.0,180.0,top
R44,10kΩ,R_0402,198.9,-43.0,180.0,top
R45,10kΩ,R_0402,198.9,-40.0,180.0,top
R46,10kΩ,R_0402,198.9,-39.0,180.0,top
R47,10kΩ,R_0402,198.9,-36.0,180.0,top
R48,10kΩ,R_0402,198.9,-35.0,180.0,top
R49,10kΩ,R_0402,198.9,-31.9,180.0,top
R5,10kΩ,R_0402,74.11,-100.5,-90.0,top
R50,10kΩ,R_0402,198.9,-30.9,180.0,top
R51,10kΩ,R_0402,73.6,-30.4,0.0,top
R52,10kΩ,R_0402,73.6,-29.3,0.0,top
R53,10kΩ,R_0402,87.6,-29.3,180.0,top
R54,10kΩ,R_0402,87.6,-30.4,180.0,top
R55,10kΩ,R_0402,105.6,-29.3,0.0,top
R56,10kΩ,R_0402,105.6,-30.4,0.0,top
R57,10kΩ,R_0402,119.7,-29.3,180.0,top
R58,10kΩ,R_0402,119.7,-30.4,180.0,top
R59,10kΩ,R_0402,137.6,-29.3,0.0,top
R6,10kΩ,R_0402,70.31,-100.5,-90.0,top
R60,10kΩ,R_0402,137.6,-30.4,0.0,top
R61,10kΩ,R_0402,151.6,-29.3,180.0,top
R62,10kΩ,R_0402,151.6,-30.4,180.0,top
R63,10kΩ,R_0402,169.6,-29.3,0.0,top
R64,10kΩ,R_0402,169.6,-30.4,0.0,top
R65,10kΩ,R_0402,183.6,-29.3,180.0,top
R66,10kΩ,R_0402,183.6,-30.4,180.0,top
R7,10kΩ,R_0402,66.51,-100.5,-90.0,top
R8,10kΩ,R_0402,62.91,-100.5,-90.0,top
R9,10kΩ,R_0402,88.11,-100.5,-90.0,top
