Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805,45.7,-120.4,90.0,top
C2,22uF,C_0805,47.8,-120.4,90.0,top
C3,22uF,C_0805,50.2,-120.4,90.0,top
C4,22uF,C_0805,52.6,-120.4,90.0,top
C5,22uF,C_0805,167.075,-101.4,0.0,top
C6,22uF,C_0805,167.075,-103.8,0.0,top
C7,22uF,C_0805,167.075,-106.2,0.0,top
C8,22uF,C_0805,167.075,-108.55,0.0,top
D1,Red,D_0603,154.5,-29.8,180.0,top
D10,Red,D_0603,59.5,-45.3,0.0,top
D11,Red,D_0603,59.5,-49.0,0.0,top
D12,Red,D_0603,59.5,-52.7,0.0,top
D13,Red,D_0603,59.5,-56.4,0.0,top
D14,Red,D_0603,59.5,-60.1,0.0,top
D15,Red,D_0603,59.5,-63.8,0.0,top
D16,Red,D_0603,59.5,-67.5,0.0,top
D17,Red,D_0603,45.8,-41.6,0.0,top
D18,Red,D_0603,45.8,-45.3,0.0,top
D19,Red,D_0603,45.8,-49.0,0.0,top
D2,Red,D_0603,154.5,-33.6,180.0,top
D20,Red,D_0603,45.8,-52.7,0.0,top
D21,Red,D_0603,45.8,-56.4,0.0,top
D22,Red,D_0603,45.8,-60.1,0.0,top
D23,Red,D_0603,45.8,-63.8,0.0,top
D24,Red,D_0603,45.8,-67.5,0.0,top
D25,Red,D_0603,60.4,-96.6,0.0,top
D26,Red,D_0603,60.4,-100.4,0.0,top
D27,Red,D_0603,144.9,-35.4,90.0,top
D28,Red,D_0603,144.9,-47.4,90.0,top
D29,Red,D_0603,144.9,-59.4,90.0,top
D3,Red,D_0603,154.5,-37.4,180.0,top
D30,Red,D_0603,144.9,-71.4,90.0,top
D31,Red,D_0603,144.9,-83.4,90.0,top
D32,Red,D_0603,144.9,-95.4,90.0,top
D33,Red,D_0603,60.4375,-104.2,0.0,top
D34,Red,D_0603,60.5,-108.0,0.0,top
D35,Red,D_0603,60.4375,-111.8,0.0,top
D36,Red,D_0603,41.9,-119.4,180.0,top
D4,Red,D_0603,154.5,-41.2,180.0,top
D5,Red,D_0603,154.5,-45.0,180.0,top
D6,Red,D_0603,154.5,-48.8,180.0,top
D7,Red,D_0603,154.5,-52.6,180.0,top
D8,Red,D_0603,154.5,-56.4,180.0,top
D9,Red,D_0603,59.5,-41.6,0.0,top
J1,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,167.07,-48.69,0.0,top
J2,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,40.681,-103.781,0.0,top
J3,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,50.585,-32.72,-90.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,56.5,-120.405,180.0,top
