Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R12,R14,R15,R17,R19,R2,R20,R22,R24,R25,R27,R28,R29,R30,R32,R34,R35,R37,R39,R4,R40,R5,R7,R9",R_0402,C25765,26
2.2kΩ,"R11,R13,R16,R18,R21,R23,R26,R3,R6,R8",R_0603,C23179,10
22uF,"C1,C2,C3,C4",C_0805,C45783,4
2N7002,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q17,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q47,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q57,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q67,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q77,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q9",SOT-23,C8545,73
Red,"D1,D10,D2,D3,D4,D5,D6,D7,D8,D9",D_0603,C2286,10
Conn_01x21_Pin,J1,PinHeader_1x21_P2.54mm_Horizontal,,1
2N7002,Q16,SOT-23,,1
2N7002,Q7,SOT-23,,1
2N7002,Q8,SOT-23,,1
