Groups:
cpu_address[15..0] =, cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0],  hex
cpu_data_out[7..0] =, cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0],  hex

Data:
time unit: us, cpu_address[15..0], cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0], cpu_data_out[7..0], cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0], 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
768, 002E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 18, 0, 0, 0, 1, 1, 0, 0, 0, 
792, 0268, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 18, 0, 0, 0, 1, 1, 0, 0, 0, 
816, 002F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 18, 0, 0, 0, 1, 1, 0, 0, 0, 
840, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 18, 0, 0, 0, 1, 1, 0, 0, 0, 
864, 0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 18, 0, 0, 0, 1, 1, 0, 0, 0, 
888, 8018, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
912, 0032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
936, 0033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
960, 0034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
984, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1008, 0035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1032, 0036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1056, 0037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1080, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1104, 0038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1128, 0039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1152, 003A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1176, 003B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1200, 003C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
